actual,claim_id,confidence,correct,expected,hallucinated_rule_count,mlflow_run_id,policy_type,run_name,strategy,test_id
REJECT,CLM-0012,HIGH,False,APPROVE,0,f549a207fb33452382a29fb49acb8988,life,combined_life_CLM-0012,combined,life_approve
REJECT,CLM-0007,HIGH,True,REJECT,0,14dc20fd43e54edaad0a47ccfaef3840,life,combined_life_CLM-0007,combined,life_reject
REJECT,CLM-0052,HIGH,False,APPROVE,0,bf408b8107414ef7b37b55b8bc90b87a,life,combined_life_CLM-0052,combined,life_refer
REJECT,CLM-0630,HIGH,False,APPROVE,0,262def4476254c1fb7515a0bc03366fb,life,combined_life_CLM-0630,combined,life_edge
APPROVE,CLM-0012,HIGH,False,ERROR_OR_GRACEFUL_REJECT,0,aee93906e3cf4654a8a9924f3ac2198e,life,combined_life_CLM-0012,combined,life_mismatch
REJECT,CLM-0008,HIGH,False,APPROVE,0,4b0411cc9f1d44f682462279a0dd2497,health,combined_health_CLM-0008,combined,health_approve
REJECT,CLM-0308,HIGH,True,REJECT,0,7ed72666862041cca4fbf6fcf2a8a8e4,health,combined_health_CLM-0308,combined,health_reject
REJECT,CLM-0057,HIGH,False,APPROVE,0,29fd8d889a364fd8b2dc3492f345831a,health,combined_health_CLM-0057,combined,health_refer
REJECT,CLM-0912,HIGH,False,APPROVE,0,01999978aaa0404abc0b854ab8cf72b4,health,combined_health_CLM-0912,combined,health_edge
APPROVE,CLM-0008,MEDIUM,False,ERROR_OR_GRACEFUL_REJECT,0,07afe20fbbcd423db4246a73225e13ca,health,combined_health_CLM-0008,combined,health_mismatch
APPROVE,CLM-0278,HIGH,True,APPROVE,0,a2d12cb58ded45dfb1de24ec2f248dbd,critical_illness,combined_critical_illness_CLM-0278,combined,ci_approve
REJECT,CLM-0072,HIGH,True,REJECT,0,818eb5cb6854488c8b12ab24c1ce1e9f,critical_illness,combined_critical_illness_CLM-0072,combined,ci_reject
APPROVE,CLM-0049,HIGH,True,APPROVE,0,f33cae9193ec4ed6b1078df2e5c65434,critical_illness,combined_critical_illness_CLM-0049,combined,ci_refer
REJECT,CLM-0134,HIGH,True,REJECT,0,1fafe71449a04b1ab73f9ab9702f19d1,critical_illness,combined_critical_illness_CLM-0134,combined,ci_edge
,CLM-0278,,False,ERROR_OR_GRACEFUL_REJECT,0,245445f75ae34ce7a6263acf094d6837,critical_illness,combined_critical_illness_CLM-0278,combined,ci_mismatch
APPROVE,CLM-0006,HIGH,True,APPROVE,0,f4046012bdf2446da0d08d25ca922a3c,disability,combined_disability_CLM-0006,combined,disability_approve
REJECT,CLM-0612,HIGH,True,REJECT,0,018daf1587d442168829334e5f9d9fdb,disability,combined_disability_CLM-0612,combined,disability_reject
REJECT,CLM-0248,HIGH,False,REFER_FOR_FURTHER_REVIEW,0,ec0498167ddf464b83e08b4b00dd08d4,disability,combined_disability_CLM-0248,combined,disability_refer
APPROVE,CLM-0724,HIGH,True,APPROVE,0,ecd495d3803e4b2f8a9ec025b26aa9ce,disability,combined_disability_CLM-0724,combined,disability_edge
APPROVE,CLM-0006,HIGH,False,ERROR_OR_GRACEFUL_REJECT,2,e0b4df9f30624265a57a2b722cad9f22,disability,combined_disability_CLM-0006,combined,disability_mismatch
